iter	MAE
0	310.6772188
1	308.7682561
2	306.9866223
3	305.2545553
4	303.5002729
5	301.7941272
6	300.1094644
7	298.6070295
8	297.1169598
9	295.6045793
10	294.1065735
11	292.7172048
12	291.3192491
13	289.975921
14	288.6618488
15	287.3703027
16	286.1062208
17	284.886011
18	283.7032323
19	282.5271826
20	281.3854077
21	280.2100862
22	279.0904035
23	277.9653237
24	276.8562567
25	275.7498831
26	274.6985076
27	273.6110713
28	272.5324748
29	271.5081235
30	270.5044447
31	269.5004242
32	268.5191045
33	267.5417309
34	266.5626288
35	265.5919924
36	264.6171025
37	263.6756161
38	262.7284315
39	261.794987
40	260.917713
41	260.0257166
42	259.1309903
43	258.246739
44	257.3735704
45	256.5059118
46	255.643402
47	254.7720965
48	253.9616637
49	253.1273629
50	252.3139687
51	251.5048485
52	250.6886019
53	249.8948711
54	249.1055794
55	248.3282127
56	247.5577208
57	246.778211
58	245.9966637
59	245.2819394
60	244.5416097
61	243.8281302
62	243.0953088
63	242.3694554
64	241.6467833
65	240.9443631
66	240.2248293
67	239.4919627
68	238.8072268
69	238.1140916
70	237.3992083
71	236.7008213
72	236.0315048
73	235.3491412
74	234.6487526
75	233.9672842
76	233.2882312
77	232.6345995
78	231.9660795
79	231.2863175
80	230.6235702
81	229.954847
82	229.3005437
83	228.6721729
84	228.0253987
85	227.3987821
86	226.7783373
87	226.1850474
88	225.5580675
89	224.9395775
90	224.3373017
91	223.7404061
92	223.1483908
93	222.5536944
94	221.9477885
95	221.3670958
96	220.7788623
97	220.1840579
98	219.5922519
99	219.0131144
