iter	Passed	Remaining
0	23	2372
1	48	2398
2	73	2387
3	99	2394
4	122	2334
5	155	2431
6	182	2419
7	204	2351
8	233	2358
9	263	2368
10	289	2340
11	316	2317
12	355	2376
13	388	2386
14	418	2369
15	456	2394
16	485	2371
17	547	2494
18	588	2510
19	642	2568
20	674	2535
21	712	2524
22	746	2497
23	774	2452
24	840	2520
25	877	2498
26	916	2477
27	1008	2592
28	1069	2619
29	1120	2615
30	1142	2541
31	1171	2488
32	1198	2432
33	1230	2388
34	1252	2325
35	1277	2270
36	1306	2224
37	1327	2166
38	1350	2111
39	1382	2073
40	1406	2024
41	1434	1981
42	1459	1934
43	1485	1890
44	1526	1865
45	1557	1828
46	1582	1784
47	1606	1740
48	1631	1698
49	1655	1655
50	1675	1609
51	1698	1567
52	1723	1528
53	1747	1488
54	1768	1446
55	1797	1412
56	1821	1374
57	1844	1335
58	1869	1298
59	1892	1261
60	1917	1225
61	1940	1189
62	1965	1154
63	1990	1119
64	2013	1084
65	2033	1047
66	2057	1013
67	2079	978
68	2102	944
69	2122	909
70	2142	875
71	2164	841
72	2182	807
73	2203	774
74	2227	742
75	2247	709
76	2271	678
77	2292	646
78	2319	616
79	2343	585
80	2367	555
81	2395	525
82	2416	494
83	2441	464
84	2462	434
85	2482	404
86	2507	374
87	2527	344
88	2550	315
89	2575	286
90	2601	257
91	2621	227
92	2642	198
93	2664	170
94	2685	141
95	2708	112
96	2729	84
97	2748	56
98	2768	27
99	2795	0
